interval_start_est,interval_end_est,node,lmp
2016-01-02T15:00:00.0,2016-01-02T16:00:00.0,LOUISIANA.HUB,20.57
2016-01-02T15:00:00.0,2016-01-02T16:00:00.0,MICHIGAN.HUB,20.93
2016-01-02T15:00:00.0,2016-01-02T16:00:00.0,MINN.HUB,18.75
2016-01-02T15:00:00.0,2016-01-02T16:00:00.0,TEXAS.HUB,20.85
2016-01-02T16:00:00.0,2016-01-02T17:00:00.0,ARKANSAS.HUB,20.68
2016-01-02T16:00:00.0,2016-01-02T17:00:00.0,ILLINOIS.HUB,21.41
2016-01-02T16:00:00.0,2016-01-02T17:00:00.0,INDIANA.HUB,21.85
2016-01-02T16:00:00.0,2016-01-02T17:00:00.0,LOUISIANA.HUB,21.04
2016-01-02T16:00:00.0,2016-01-02T17:00:00.0,MICHIGAN.HUB,22.3
2016-01-02T16:00:00.0,2016-01-02T17:00:00.0,MINN.HUB,19.1
2016-01-02T16:00:00.0,2016-01-02T17:00:00.0,TEXAS.HUB,21.23
2016-01-02T17:00:00.0,2016-01-02T18:00:00.0,ARKANSAS.HUB,22.22
2016-01-02T17:00:00.0,2016-01-02T18:00:00.0,ILLINOIS.HUB,25.66
2016-01-02T17:00:00.0,2016-01-02T18:00:00.0,INDIANA.HUB,25.67
2016-01-02T17:00:00.0,2016-01-02T18:00:00.0,LOUISIANA.HUB,22.94
2016-01-02T17:00:00.0,2016-01-02T18:00:00.0,MICHIGAN.HUB,25.82
2016-01-02T17:00:00.0,2016-01-02T18:00:00.0,MINN.HUB,21.46
2016-01-02T17:00:00.0,2016-01-02T18:00:00.0,TEXAS.HUB,23.15
2016-01-02T18:00:00.0,2016-01-02T19:00:00.0,ARKANSAS.HUB,24.08
2016-01-02T18:00:00.0,2016-01-02T19:00:00.0,ILLINOIS.HUB,26.57
2016-01-02T18:00:00.0,2016-01-02T19:00:00.0,INDIANA.HUB,26.04
2016-01-02T18:00:00.0,2016-01-02T19:00:00.0,LOUISIANA.HUB,24.73
2016-01-02T18:00:00.0,2016-01-02T19:00:00.0,MICHIGAN.HUB,26.91
2016-01-02T18:00:00.0,2016-01-02T19:00:00.0,MINN.HUB,23.71
2016-01-02T18:00:00.0,2016-01-02T19:00:00.0,TEXAS.HUB,24.44
2016-01-02T19:00:00.0,2016-01-02T20:00:00.0,ARKANSAS.HUB,24.55
2016-01-02T19:00:00.0,2016-01-02T20:00:00.0,ILLINOIS.HUB,25.93
