interval_start_est,interval_end_est,node,lmp
2023-03-08T00:00:00.0,2023-03-08T01:00:00.0,GRE.ALTW,21.82
2023-03-08T00:00:00.0,2023-03-08T01:00:00.0,MINN.HUB,27.52
2023-03-08T00:00:00.0,2023-03-08T01:00:00.0,NSP.NOBLES.WND,21.56
2023-03-08T00:00:00.0,2023-03-08T01:00:00.0,NSP.PVALEY.WND,2.95
2023-03-09T00:00:00.0,2023-03-09T01:00:00.0,GRE.ALTW,23.48
2023-03-09T00:00:00.0,2023-03-09T01:00:00.0,MINN.HUB,27.39
2023-03-09T00:00:00.0,2023-03-09T01:00:00.0,NSP.NOBLES.WND,22.27
2023-03-09T00:00:00.0,2023-03-09T01:00:00.0,NSP.PVALEY.WND,25.42
2023-03-10T00:00:00.0,2023-03-10T01:00:00.0,GRE.ALTW,27.09
2023-03-10T00:00:00.0,2023-03-10T01:00:00.0,MINN.HUB,30.95
2023-03-10T00:00:00.0,2023-03-10T01:00:00.0,NSP.NOBLES.WND,26.31
2023-03-10T00:00:00.0,2023-03-10T01:00:00.0,NSP.PVALEY.WND,28.64
2023-03-11T00:00:00.0,2023-03-11T01:00:00.0,GRE.ALTW,17.95
2023-03-11T00:00:00.0,2023-03-11T01:00:00.0,MINN.HUB,21.11
2023-03-11T00:00:00.0,2023-03-11T01:00:00.0,NSP.NOBLES.WND,-29.85
2023-03-11T00:00:00.0,2023-03-11T01:00:00.0,NSP.PVALEY.WND,19.49
2023-03-12T00:00:00.0,2023-03-12T01:00:00.0,GRE.ALTW,24.11
2023-03-12T00:00:00.0,2023-03-12T01:00:00.0,MINN.HUB,25.55
2023-03-12T00:00:00.0,2023-03-12T01:00:00.0,NSP.NOBLES.WND,-22.53
2023-03-12T00:00:00.0,2023-03-12T01:00:00.0,NSP.PVALEY.WND,25.31
2023-03-13T00:00:00.0,2023-03-13T01:00:00.0,GRE.ALTW,3.34
2023-03-13T00:00:00.0,2023-03-13T01:00:00.0,MINN.HUB,17.71
2023-03-13T00:00:00.0,2023-03-13T01:00:00.0,NSP.NOBLES.WND,-36.45
2023-03-13T00:00:00.0,2023-03-13T01:00:00.0,NSP.PVALEY.WND,-36.1
2023-03-14T00:00:00.0,2023-03-14T01:00:00.0,GRE.ALTW,26.52
2023-03-14T00:00:00.0,2023-03-14T01:00:00.0,MINN.HUB,27.43
2023-03-14T00:00:00.0,2023-03-14T01:00:00.0,NSP.NOBLES.WND,25.71
2023-03-14T00:00:00.0,2023-03-14T01:00:00.0,NSP.PVALEY.WND,26.73
2023-03-15T00:00:00.0,2023-03-15T01:00:00.0,GRE.ALTW,-3.43
2023-03-15T00:00:00.0,2023-03-15T01:00:00.0,MINN.HUB,19.26
2023-03-15T00:00:00.0,2023-03-15T01:00:00.0,NSP.NOBLES.WND,-38.18
2023-03-15T00:00:00.0,2023-03-15T01:00:00.0,NSP.PVALEY.WND,-10.0
2023-03-16T00:00:00.0,2023-03-16T01:00:00.0,GRE.ALTW,-0.16
2023-03-16T00:00:00.0,2023-03-16T01:00:00.0,MINN.HUB,11.31
2023-03-16T00:00:00.0,2023-03-16T01:00:00.0,NSP.NOBLES.WND,-33.74
2023-03-16T00:00:00.0,2023-03-16T01:00:00.0,NSP.PVALEY.WND,-19.13
2023-03-17T00:00:00.0,2023-03-17T01:00:00.0,GRE.ALTW,-0.17
2023-03-17T00:00:00.0,2023-03-17T01:00:00.0,MINN.HUB,11.82
2023-03-17T00:00:00.0,2023-03-17T01:00:00.0,NSP.NOBLES.WND,-33.9
2023-03-17T00:00:00.0,2023-03-17T01:00:00.0,NSP.PVALEY.WND,-14.62
2023-03-18T00:00:00.0,2023-03-18T01:00:00.0,GRE.ALTW,-0.67
2023-03-18T00:00:00.0,2023-03-18T01:00:00.0,MINN.HUB,15.97
2023-03-18T00:00:00.0,2023-03-18T01:00:00.0,NSP.NOBLES.WND,-38.18
2023-03-18T00:00:00.0,2023-03-18T01:00:00.0,NSP.PVALEY.WND,-19.07
2023-03-19T00:00:00.0,2023-03-19T01:00:00.0,GRE.ALTW,12.01
